date,keyword,trend_score
2021/4/18,charles leclerc,1
2021/4/25,charles leclerc,0
2021/5/2,charles leclerc,0
2021/5/9,charles leclerc,0
2021/5/16,charles leclerc,1
2021/5/23,charles leclerc,1
2021/5/30,charles leclerc,0
2021/6/6,charles leclerc,0
2021/6/13,charles leclerc,0
2021/6/20,charles leclerc,0
2021/6/27,charles leclerc,0
2021/7/4,charles leclerc,0
2021/7/11,charles leclerc,0
2021/7/18,charles leclerc,1
2021/7/25,charles leclerc,0
2021/8/1,charles leclerc,0
2021/8/8,charles leclerc,0
2021/8/15,charles leclerc,0
2021/8/22,charles leclerc,0
2021/8/29,charles leclerc,0
2021/9/5,charles leclerc,0
2021/9/12,charles leclerc,0
2021/9/19,charles leclerc,0
2021/9/26,charles leclerc,0
2021/10/3,charles leclerc,0
2021/10/10,charles leclerc,0
2021/10/17,charles leclerc,0
2021/10/24,charles leclerc,0
2021/10/31,charles leclerc,0
2021/11/7,charles leclerc,0
2021/11/14,charles leclerc,0
2021/11/21,charles leclerc,0
2021/11/28,charles leclerc,0
2021/12/5,charles leclerc,0
2021/12/12,charles leclerc,1
2021/12/19,charles leclerc,0
2021/12/26,charles leclerc,0
2022/1/2,charles leclerc,0
2022/1/9,charles leclerc,0
2022/1/16,charles leclerc,0
2022/1/23,charles leclerc,0
2022/1/30,charles leclerc,0
2022/2/6,charles leclerc,0
2022/2/13,charles leclerc,0
2022/2/20,charles leclerc,0
2022/2/27,charles leclerc,0
2022/3/6,charles leclerc,0
2022/3/13,charles leclerc,1
2022/3/20,charles leclerc,3
2022/3/27,charles leclerc,1
2022/4/3,charles leclerc,1
2022/4/10,charles leclerc,2
2022/4/17,charles leclerc,1
2022/4/24,charles leclerc,1
2022/5/1,charles leclerc,0
2022/5/8,charles leclerc,1
2022/5/15,charles leclerc,1
2022/5/22,charles leclerc,1
2022/5/29,charles leclerc,1
2022/6/5,charles leclerc,1
2022/6/12,charles leclerc,1
2022/6/19,charles leclerc,1
2022/6/26,charles leclerc,0
2022/7/3,charles leclerc,1
2022/7/10,charles leclerc,2
2022/7/17,charles leclerc,1
2022/7/24,charles leclerc,2
2022/7/31,charles leclerc,1
2022/8/7,charles leclerc,1
2022/8/14,charles leclerc,0
2022/8/21,charles leclerc,0
2022/8/28,charles leclerc,1
2022/9/4,charles leclerc,1
2022/9/11,charles leclerc,1
2022/9/18,charles leclerc,0
2022/9/25,charles leclerc,0
2022/10/2,charles leclerc,1
2022/10/9,charles leclerc,1
2022/10/16,charles leclerc,1
